region,date,confirm
Abruzzo,1/1/2021,409
Abruzzo,1/2/2021,23
Abruzzo,1/3/2021,207
Abruzzo,1/4/2021,121
Abruzzo,1/5/2021,213
Abruzzo,1/6/2021,364
Abruzzo,1/7/2021,229
Abruzzo,1/8/2021,158
Abruzzo,1/9/2021,400
Abruzzo,1/10/2021,315
Abruzzo,1/11/2021,120
Abruzzo,1/12/2021,152
Abruzzo,1/13/2021,314
Abruzzo,1/14/2021,255
Abruzzo,1/15/2021,240
Abruzzo,1/16/2021,196
Abruzzo,1/17/2021,285
Abruzzo,1/18/2021,107
Abruzzo,1/19/2021,113
Abruzzo,1/20/2021,279
Abruzzo,1/21/2021,211
Abruzzo,1/22/2021,318
Abruzzo,1/23/2021,221
Abruzzo,1/24/2021,325
Abruzzo,1/25/2021,66
Abruzzo,1/26/2021,152
Abruzzo,1/27/2021,343
Abruzzo,1/28/2021,268
Abruzzo,1/29/2021,341
Abruzzo,1/30/2021,385
Abruzzo,1/31/2021,402
Abruzzo,2/1/2021,161
Abruzzo,2/2/2021,207
Abruzzo,2/3/2021,449
Abruzzo,2/4/2021,526
Abruzzo,2/5/2021,275
Abruzzo,2/6/2021,508
Abruzzo,2/7/2021,436
Abruzzo,2/8/2021,184
Abruzzo,2/9/2021,241
Abruzzo,2/10/2021,314
Abruzzo,2/11/2021,539
Abruzzo,2/12/2021,357
Abruzzo,2/13/2021,506
Abruzzo,2/14/2021,222
Abruzzo,2/15/2021,528
Abruzzo,2/16/2021,492
Abruzzo,2/17/2021,438
Abruzzo,2/18/2021,481
Abruzzo,2/19/2021,494
Abruzzo,2/20/2021,386
Abruzzo,2/21/2021,503
Abruzzo,2/22/2021,349
Abruzzo,2/23/2021,322
Abruzzo,2/24/2021,535
Abruzzo,2/25/2021,652
Abruzzo,2/26/2021,594
Abruzzo,2/27/2021,355
Abruzzo,2/28/2021,568
Abruzzo,3/1/2021,196
Abruzzo,3/2/2021,246
Abruzzo,3/3/2021,569
Basilicata,1/1/2021,156
Basilicata,1/2/2021,39
Basilicata,1/3/2021,81
Basilicata,1/4/2021,41
Basilicata,1/5/2021,56
Basilicata,1/6/2021,210
Basilicata,1/7/2021,62
Basilicata,1/8/2021,157
Basilicata,1/9/2021,143
Basilicata,1/10/2021,108
Basilicata,1/11/2021,79
Basilicata,1/12/2021,168
Basilicata,1/13/2021,71
Basilicata,1/14/2021,90
Basilicata,1/15/2021,78
Basilicata,1/16/2021,87
Basilicata,1/17/2021,49
Basilicata,1/18/2021,7
Basilicata,1/19/2021,60
Basilicata,1/20/2021,57
Basilicata,1/21/2021,59
Basilicata,1/22/2021,51
Basilicata,1/23/2021,59
Basilicata,1/24/2021,48
Basilicata,1/25/2021,71
Basilicata,1/26/2021,58
Basilicata,1/27/2021,74
Basilicata,1/28/2021,42
Basilicata,1/29/2021,45
Basilicata,1/30/2021,70
Basilicata,1/31/2021,29
Basilicata,2/1/2021,13
Basilicata,2/2/2021,55
Basilicata,2/3/2021,68
Basilicata,2/4/2021,68
Basilicata,2/5/2021,89
Basilicata,2/6/2021,85
Basilicata,2/7/2021,77
Basilicata,2/8/2021,15
Basilicata,2/9/2021,106
Basilicata,2/10/2021,94
Basilicata,2/11/2021,102
Basilicata,2/12/2021,90
Basilicata,2/13/2021,84
Basilicata,2/14/2021,74
Basilicata,2/15/2021,29
Basilicata,2/16/2021,80
Basilicata,2/17/2021,85
Basilicata,2/18/2021,111
Basilicata,2/19/2021,136
Basilicata,2/20/2021,88
Basilicata,2/21/2021,65
Basilicata,2/22/2021,41
Basilicata,2/23/2021,151
Basilicata,2/24/2021,166
Basilicata,2/25/2021,124
Basilicata,2/26/2021,87
Basilicata,2/27/2021,120
Basilicata,2/28/2021,101
Basilicata,3/1/2021,75
Basilicata,3/2/2021,147
Basilicata,3/3/2021,124
Calabria,1/1/2021,345
Calabria,1/2/2021,175
Calabria,1/3/2021,150
Calabria,1/4/2021,221
Calabria,1/5/2021,177
Calabria,1/6/2021,398
Calabria,1/7/2021,361
Calabria,1/8/2021,355
Calabria,1/9/2021,423
Calabria,1/10/2021,409
Calabria,1/11/2021,270
Calabria,1/12/2021,249
Calabria,1/13/2021,283
Calabria,1/14/2021,286
Calabria,1/15/2021,405
Calabria,1/16/2021,295
Calabria,1/17/2021,351
Calabria,1/18/2021,256
Calabria,1/19/2021,191
Calabria,1/20/2021,313
Calabria,1/21/2021,258
Calabria,1/22/2021,368
Calabria,1/23/2021,402
Calabria,1/24/2021,211
Calabria,1/25/2021,207
Calabria,1/26/2021,232
Calabria,1/27/2021,263
Calabria,1/28/2021,302
Calabria,1/29/2021,253
Calabria,1/30/2021,225
Calabria,1/31/2021,193
Calabria,2/1/2021,195
Calabria,2/2/2021,166
Calabria,2/3/2021,318
Calabria,2/4/2021,202
Calabria,2/5/2021,239
Calabria,2/6/2021,197
Calabria,2/7/2021,127
Calabria,2/8/2021,142
Calabria,2/9/2021,188
Calabria,2/10/2021,214
Calabria,2/11/2021,198
Calabria,2/12/2021,115
Calabria,2/13/2021,237
Calabria,2/14/2021,151
Calabria,2/15/2021,128
Calabria,2/16/2021,121
Calabria,2/17/2021,170
Calabria,2/18/2021,166
Calabria,2/19/2021,177
Calabria,2/20/2021,218
Calabria,2/21/2021,170
Calabria,2/22/2021,118
Calabria,2/23/2021,116
Calabria,2/24/2021,278
Calabria,2/25/2021,194
Calabria,2/26/2021,241
Calabria,2/27/2021,187
Calabria,2/28/2021,160
Calabria,3/1/2021,151
Calabria,3/2/2021,102
Calabria,3/3/2021,230
Campania,1/1/2021,1734
Campania,1/2/2021,392
Campania,1/3/2021,619
Campania,1/4/2021,747
Campania,1/5/2021,688
Campania,1/6/2021,1366
Campania,1/7/2021,1052
Campania,1/8/2021,984
Campania,1/9/2021,1263
Campania,1/10/2021,1253
Campania,1/11/2021,1021
Campania,1/12/2021,662
Campania,1/13/2021,1098
Campania,1/14/2021,1294
Campania,1/15/2021,1150
Campania,1/16/2021,1132
Campania,1/17/2021,1021
Campania,1/18/2021,714
Campania,1/19/2021,651
Campania,1/20/2021,968
Campania,1/21/2021,1215
Campania,1/22/2021,1106
Campania,1/23/2021,1150
Campania,1/24/2021,1069
Campania,1/25/2021,754
Campania,1/26/2021,976
Campania,1/27/2021,1178
Campania,1/28/2021,1313
Campania,1/29/2021,1175
Campania,1/30/2021,1366
Campania,1/31/2021,1401
Campania,2/1/2021,994
Campania,2/2/2021,919
Campania,2/3/2021,1539
Campania,2/4/2021,1544
Campania,2/5/2021,1665
Campania,2/6/2021,1546
Campania,2/7/2021,1741
Campania,2/8/2021,1189
Campania,2/9/2021,1274
Campania,2/10/2021,1635
Campania,2/11/2021,1694
Campania,2/12/2021,1637
Campania,2/13/2021,1751
Campania,2/14/2021,1603
Campania,2/15/2021,966
Campania,2/16/2021,1135
Campania,2/17/2021,1575
Campania,2/18/2021,1573
Campania,2/19/2021,1616
Campania,2/20/2021,1677
Campania,2/21/2021,1658
Campania,2/22/2021,1202
Campania,2/23/2021,1436
Campania,2/24/2021,2185
Campania,2/25/2021,2385
Campania,2/26/2021,2519
Campania,2/27/2021,2215
Campania,2/28/2021,2561
Campania,3/1/2021,1896
Campania,3/2/2021,2046
Campania,3/3/2021,2635
Emilia-Romagna,1/1/2021,2629
Emilia-Romagna,1/2/2021,2029
Emilia-Romagna,1/3/2021,1818
Emilia-Romagna,1/4/2021,1598
Emilia-Romagna,1/5/2021,1503
Emilia-Romagna,1/6/2021,1572
Emilia-Romagna,1/7/2021,2228
Emilia-Romagna,1/8/2021,2024
Emilia-Romagna,1/9/2021,1788
Emilia-Romagna,1/10/2021,2191
Emilia-Romagna,1/11/2021,1940
Emilia-Romagna,1/12/2021,1563
Emilia-Romagna,1/13/2021,1178
Emilia-Romagna,1/14/2021,1513
Emilia-Romagna,1/15/2021,1792
Emilia-Romagna,1/16/2021,1674
